timestamp,wind_speed,temperature,RH,pressure,gust,wind_dir_dev,precipitation,theoretical_output_kW,actual_output_kW
2022-01-01 00:00:00,5.6,21.57,58,1015.41,7.75,0.0,7.8,492.16,479.7
2022-01-01 01:00:00,8.07,24.28,27,1001.79,11.51,0.0,1.26,1474.63,1441.56
2022-01-01 02:00:00,7.37,32.64,79,1022.21,12.67,7.72,2.91,1123.17,1073.05
2022-01-01 03:00:00,8.28,20.4,81,1016.83,11.83,4.62,4.05,1593.56,1572.04
2022-01-01 04:00:00,6.68,25.16,32,999.18,8.76,26.45,3.03,835.72,769.03
2022-01-01 05:00:00,5.32,25.17,38,997.14,9.5,26.64,8.37,423.36,376.12
2022-01-01 08:00:00,7.06,28.26,80,1003.94,12.02,14.4,6.61,985.18,886.89
2022-01-01 09:00:00,4.5,22.45,84,1005.01,8.25,0.0,7.17,255.59,240.42
2022-01-01 10:00:00,6.22,19.15,82,999.98,8.64,21.77,6.26,675.98,603.23
2022-01-01 11:00:00,7.12,16.93,55,1008.63,9.43,4.07,6.37,1011.16,964.33
2022-01-01 12:00:00,7.55,19.82,44,1018.86,11.53,19.38,6.69,1208.96,1140.44
2022-01-01 13:00:00,7.17,27.57,58,1006.02,11.62,4.35,2.93,1033.93,997.62
2022-01-01 14:00:00,6.84,27.94,23,1000.0,10.75,21.57,9.4,898.55,800.4
2022-01-01 15:00:00,6.27,31.62,71,1015.79,6.1,0.0,9.09,690.42,649.96
2022-01-01 16:00:00,5.59,27.32,59,1001.68,7.71,0.0,7.85,491.28,460.36
2022-01-01 17:00:00,5.41,22.46,83,1001.79,6.17,9.54,9.42,445.23,408.71
2022-01-01 18:00:00,8.81,22.47,28,1009.73,10.58,15.78,0.66,1919.48,1846.73
2022-01-01 20:00:00,7.43,30.53,95,1021.27,13.58,0.0,4.91,1150.03,1107.4
2022-01-01 21:00:00,8.39,20.53,68,1006.12,10.68,0.0,9.91,1654.37,1582.65
2022-01-01 22:00:00,8.95,30.25,58,1006.84,13.91,0.0,5.96,2008.85,1874.0
2022-01-01 23:00:00,10.34,25.78,39,1019.35,11.57,17.13,4.97,3100.53,3020.46
2022-01-02 00:00:00,5.69,26.01,62,1011.93,8.79,22.64,6.17,515.69,474.13
2022-01-02 01:00:00,9.78,28.85,83,1012.84,14.27,0.0,4.36,2625.14,2539.52
2022-01-02 02:00:00,6.82,22.39,57,1004.05,9.54,29.06,5.59,888.4,797.14
2022-01-02 03:00:00,5.96,26.06,69,1009.58,9.29,20.0,9.16,593.15,545.65
